feature,mean_abs_shap_value
V14,0.09002911786008934
V4,0.06191921197179072
V12,0.061093531992164836
V3,0.05360190739289011
V11,0.04796810898460144
V10,0.04240648601652085
V17,0.029508908483307707
V16,0.01443236147932941
V1,0.011147710028714007
V7,0.01111862606782336
V8,0.010566942516664292
V2,0.010476876612601212
V9,0.009679078009299825
V18,0.0062586217979858
V20,0.00574145561967723
V5,0.005175031795396084
V21,0.005039702724108213
V19,0.004897756306144156
V24,0.004839735693181886
V26,0.004420772921893196
V27,0.004283725556326726
V15,0.004181932716387816
V22,0.004095759812038707
Amount,0.004028067994001119
V6,0.00392374016938545
V28,0.0036597682358414534
Time,0.0035726888275984373
V13,0.003188931911436475
V25,0.002923746335492332
V23,0.0022078845919245773
