model,threshold,precision,recall,f1,business_cost,TP,TN,FP,FN
Logistic Regression,0.01,0.0020287958115183247,0.9893617021276596,0.004049288109025994,45757,93,10904,45747,1
Logistic Regression,0.02,0.0025859911575786226,0.9893617021276596,0.005158499043181629,35880,93,20781,35870,1
Logistic Regression,0.03,0.0032669406681420593,0.9893617021276596,0.0065123770176114286,28384,93,28277,28374,1
Logistic Regression,0.04,0.0039685926431680466,0.9893617021276596,0.007905474328459708,23351,93,33310,23341,1
Logistic Regression,0.05,0.004611066559743384,0.9787234042553191,0.009178888556320463,19880,92,36791,19860,2
Logistic Regression,0.06,0.0052434456928838954,0.9680851063829787,0.010430397157430226,17294,91,39387,17264,3
Logistic Regression,0.07,0.005921009824972347,0.9680851063829787,0.011770031688546853,15308,91,41373,15278,3
Logistic Regression,0.08,0.006584183488893712,0.9680851063829787,0.013079410707869206,13760,91,42921,13730,3
Logistic Regression,0.09,0.00725967291583566,0.9680851063829787,0.014411275635442236,12474,91,44207,12444,3
Logistic Regression,0.1,0.008000703358537014,0.9680851063829787,0.0158702476456226,11313,91,45368,11283,3
Logistic Regression,0.11,0.008706467661691543,0.9680851063829787,0.017257728048549213,10391,91,46290,10361,3
Logistic Regression,0.12,0.009524806363826669,0.9680851063829787,0.018864013266998342,9493,91,47188,9463,3
Logistic Regression,0.13,0.010336210813266697,0.9680851063829787,0.020454034614520118,8743,91,47938,8713,3
Logistic Regression,0.14,0.01114103819784525,0.9680851063829787,0.02202856451222464,8107,91,48574,8077,3
Logistic Regression,0.15,0.011923480083857442,0.9680851063829787,0.02355682112347916,7571,91,49110,7541,3
Logistic Regression,0.16,0.012596221133659902,0.9574468085106383,0.024865312888520515,7095,90,49596,7055,4
Logistic Regression,0.17,0.013501350135013501,0.9574468085106383,0.026627218934911243,6616,90,50075,6576,4
Logistic Regression,0.18,0.014367816091954023,0.9574468085106383,0.028310789556464298,6214,90,50477,6174,4
Logistic Regression,0.19,0.01524390243902439,0.9574468085106383,0.030010003334444816,5854,90,50837,5814,4
Logistic Regression,0.2,0.016146393972012917,0.9574468085106383,0.03175723359209598,5524,90,51167,5484,4
Logistic Regression,0.21,0.017055144968732235,0.9574468085106383,0.03351331223235896,5227,90,51464,5187,4
Logistic Regression,0.22,0.017810686411847108,0.9468085106382979,0.03496366136318994,4958,89,51743,4908,5
Logistic Regression,0.23,0.018499054025646416,0.9361702127659575,0.036281179138321996,4729,88,51982,4669,6
Logistic Regression,0.24,0.01948195705114014,0.9361702127659575,0.03816959444805899,4489,88,52222,4429,6
Logistic Regression,0.25,0.02047463936714751,0.9361702127659575,0.04007285974499089,4270,88,52441,4210,6
Logistic Regression,0.26,0.021463414634146343,0.9361702127659575,0.04196471149260849,4072,88,52639,4012,6
Logistic Regression,0.27,0.022176905429518227,0.925531914893617,0.043315907393577296,3906,87,52815,3836,7
Logistic Regression,0.28,0.023181454836131096,0.925531914893617,0.04523004938913439,3736,87,52985,3666,7
Logistic Regression,0.29,0.023928770172509738,0.9148936170212766,0.046637744034707156,3588,86,53143,3508,8
Logistic Regression,0.3,0.025080198308544764,0.9148936170212766,0.048822026681805276,3423,86,53308,3343,8
Logistic Regression,0.31,0.026131874810088117,0.9148936170212766,0.050812407680945346,3285,86,53446,3205,8
Logistic Regression,0.32,0.027241051631295535,0.9148936170212766,0.0529067979083359,3151,86,53580,3071,8
Logistic Regression,0.33,0.028401585204755615,0.9148936170212766,0.05509288917360666,3022,86,53709,2942,8
Logistic Regression,0.34,0.029512697323266987,0.9148936170212766,0.057180851063829786,2908,86,53823,2828,8
Logistic Regression,0.35,0.03070332024277044,0.9148936170212766,0.059412780656303975,2795,86,53936,2715,8
Logistic Regression,0.36,0.03192279138827023,0.9148936170212766,0.06169296987087518,2688,86,54043,2608,8
Logistic Regression,0.37,0.033102386451116246,0.9148936170212766,0.0638930163447251,2592,86,54139,2512,8
Logistic Regression,0.38,0.03455202892728003,0.9148936170212766,0.06658923732094464,2483,86,54248,2403,8
Logistic Regression,0.39,0.035878181059657906,0.9148936170212766,0.06904857486953031,2391,86,54340,2311,8
Logistic Regression,0.4,0.037407568508046975,0.9148936170212766,0.07187630589218554,2293,86,54438,2213,8
Logistic Regression,0.41,0.03891402714932127,0.9148936170212766,0.07465277777777778,2204,86,54527,2124,8
Logistic Regression,0.42,0.040224508886810104,0.9148936170212766,0.07706093189964158,2132,86,54599,2052,8
Logistic Regression,0.43,0.04184914841849149,0.9148936170212766,0.08003722661703118,2049,86,54682,1969,8
Logistic Regression,0.44,0.043191056910569105,0.9042553191489362,0.08244422890397672,1973,85,54768,1883,9
Logistic Regression,0.45,0.044831223628691984,0.9042553191489362,0.08542713567839195,1901,85,54840,1811,9
Logistic Regression,0.46,0.046524356869184456,0.9042553191489362,0.08849557522123894,1832,85,54909,1742,9
Logistic Regression,0.47,0.04846066134549601,0.9042553191489362,0.09199134199134198,1759,85,54982,1669,9
Logistic Regression,0.48,0.049824150058616644,0.9042553191489362,0.09444444444444444,1711,85,55030,1621,9
Logistic Regression,0.49,0.05211526670754139,0.9042553191489362,0.09855072463768116,1636,85,55105,1546,9
Logistic Regression,0.5,0.054243777919591576,0.9042553191489362,0.10234798314268513,1572,85,55169,1482,9
Logistic Regression,0.51,0.05584756898817345,0.9042553191489362,0.1051980198019802,1527,85,55214,1437,9
Logistic Regression,0.52,0.057666214382632294,0.9042553191489362,0.10841836734693877,1479,85,55262,1389,9
Logistic Regression,0.53,0.05931612002791347,0.9042553191489362,0.11132940406024885,1438,85,55303,1348,9
Logistic Regression,0.54,0.061239193083573486,0.9042553191489362,0.11470985155195682,1393,85,55348,1303,9
Logistic Regression,0.55,0.06376594148537135,0.9042553191489362,0.11913104414856342,1338,85,55403,1248,9
Logistic Regression,0.56,0.06640625,0.9042553191489362,0.12372634643377002,1285,85,55456,1195,9
Logistic Regression,0.57,0.06882591093117409,0.9042553191489362,0.12791572610985705,1240,85,55501,1150,9
Logistic Regression,0.58,0.07130872483221476,0.9042553191489362,0.1321928460342146,1197,85,55544,1107,9
Logistic Regression,0.59,0.07449605609114812,0.9042553191489362,0.13765182186234817,1146,85,55595,1056,9
Logistic Regression,0.6,0.07741347905282331,0.9042553191489362,0.14261744966442952,1103,85,55638,1013,9
Logistic Regression,0.61,0.08034026465028356,0.9042553191489362,0.14756944444444445,1063,85,55678,973,9
Logistic Regression,0.62,0.08284600389863547,0.9042553191489362,0.15178571428571427,1031,85,55710,941,9
Logistic Regression,0.63,0.08568548387096774,0.9042553191489362,0.15653775322283608,997,85,55744,907,9
Logistic Regression,0.64,0.08740894901144641,0.8936170212765957,0.15924170616113745,977,84,55774,877,10
Logistic Regression,0.65,0.08917197452229299,0.8936170212765957,0.16216216216216217,958,84,55793,858,10
Logistic Regression,0.66,0.09170305676855896,0.8936170212765957,0.16633663366336635,932,84,55819,832,10
Logistic Regression,0.67,0.09513023782559456,0.8936170212765957,0.17195496417604914,899,84,55852,799,10
Logistic Regression,0.68,0.0979020979020979,0.8936170212765957,0.17647058823529413,874,84,55877,774,10
Logistic Regression,0.69,0.10108303249097472,0.8936170212765957,0.18162162162162163,847,84,55904,747,10
Logistic Regression,0.7,0.1033210332103321,0.8936170212765957,0.185226019845645,829,84,55922,729,10
Logistic Regression,0.71,0.10566037735849057,0.8936170212765957,0.1889763779527559,811,84,55940,711,10
Logistic Regression,0.72,0.10951760104302477,0.8936170212765957,0.1951219512195122,783,84,55968,683,10
Logistic Regression,0.73,0.11275167785234899,0.8936170212765957,0.20023837902264602,761,84,55990,661,10
Logistic Regression,0.74,0.11475409836065574,0.8936170212765957,0.2033898305084746,748,84,56003,648,10
Logistic Regression,0.75,0.11781206171107994,0.8936170212765957,0.20817843866171004,729,84,56022,629,10
Logistic Regression,0.76,0.12244897959183673,0.8936170212765957,0.2153846153846154,702,84,56049,602,10
Logistic Regression,0.77,0.12727272727272726,0.8936170212765957,0.22281167108753316,676,84,56075,576,10
Logistic Regression,0.78,0.1337579617834395,0.8936170212765957,0.23268698060941828,644,84,56107,544,10
Logistic Regression,0.79,0.13953488372093023,0.8936170212765957,0.2413793103448276,618,84,56133,518,10
Logistic Regression,0.8,0.1453287197231834,0.8936170212765957,0.25,594,84,56157,494,10
Logistic Regression,0.81,0.15356489945155394,0.8936170212765957,0.2620904836193448,563,84,56188,463,10
Logistic Regression,0.82,0.16030534351145037,0.8936170212765957,0.27184466019417475,540,84,56211,440,10
Logistic Regression,0.83,0.16699801192842942,0.8936170212765957,0.2814070351758794,519,84,56232,419,10
Logistic Regression,0.84,0.1728395061728395,0.8936170212765957,0.2896551724137931,502,84,56249,402,10
Logistic Regression,0.85,0.1794871794871795,0.8936170212765957,0.298932384341637,484,84,56267,384,10
Logistic Regression,0.86,0.18502202643171806,0.8936170212765957,0.30656934306569344,470,84,56281,370,10
Logistic Regression,0.87,0.19212962962962962,0.8829787234042553,0.3155893536121673,459,83,56302,349,11
Logistic Regression,0.88,0.2075,0.8829787234042553,0.3360323886639676,427,83,56334,317,11
Logistic Regression,0.89,0.21957671957671956,0.8829787234042553,0.3516949152542373,405,83,56356,295,11
Logistic Regression,0.9,0.23184357541899442,0.8829787234042553,0.3672566371681416,385,83,56376,275,11
Logistic Regression,0.91,0.25,0.8829787234042553,0.38967136150234744,359,83,56402,249,11
Logistic Regression,0.92,0.2721311475409836,0.8829787234042553,0.41604010025062654,332,83,56429,222,11
Logistic Regression,0.93,0.2881944444444444,0.8829787234042553,0.43455497382198954,315,83,56446,205,11
Logistic Regression,0.94,0.3155893536121673,0.8829787234042553,0.4649859943977591,290,83,56471,180,11
Logistic Regression,0.95,0.3593073593073593,0.8829787234042553,0.5107692307692308,258,83,56503,148,11
Logistic Regression,0.96,0.4029126213592233,0.8829787234042553,0.5533333333333333,233,83,56528,123,11
Logistic Regression,0.97,0.4530386740331492,0.8723404255319149,0.5963636363636363,219,82,56552,99,12
Logistic Regression,0.98,0.5394736842105263,0.8723404255319149,0.6666666666666666,190,82,56581,70,12
Logistic Regression,0.99,0.6299212598425197,0.851063829787234,0.7239819004524887,187,80,56604,47,14
Random Forest,0.01,0.011679790026246719,0.9468085106382979,0.023074928701063,7581,89,49120,7531,5
Random Forest,0.02,0.029876373626373628,0.925531914893617,0.05788423153692615,2895,87,53826,2825,7
Random Forest,0.03,0.054409005628517824,0.925531914893617,0.10277613703484938,1582,87,55139,1512,7
Random Forest,0.04,0.08498023715415019,0.9148936170212766,0.15551537070524413,1006,86,55725,926,8
Random Forest,0.05,0.11612021857923498,0.9042553191489362,0.20581113801452786,737,85,56004,647,9
Random Forest,0.06,0.1542649727767695,0.9042553191489362,0.26356589147286824,556,85,56185,466,9
Random Forest,0.07,0.1917808219178082,0.8936170212765957,0.3157894736842105,454,84,56297,354,10
Random Forest,0.08,0.2222222222222222,0.8936170212765957,0.3559322033898305,394,84,56357,294,10
Random Forest,0.09,0.2616822429906542,0.8936170212765957,0.40481927710843374,337,84,56414,237,10
Random Forest,0.1,0.28668941979522183,0.8936170212765957,0.43410852713178294,309,84,56442,209,10
Random Forest,0.11,0.3157894736842105,0.8936170212765957,0.4666666666666667,282,84,56469,182,10
Random Forest,0.12,0.34854771784232363,0.8936170212765957,0.5014925373134328,257,84,56494,157,10
Random Forest,0.13,0.38181818181818183,0.8936170212765957,0.535031847133758,236,84,56515,136,10
Random Forest,0.14,0.417910447761194,0.8936170212765957,0.5694915254237288,217,84,56534,117,10
Random Forest,0.15,0.4444444444444444,0.8936170212765957,0.5936395759717314,205,84,56546,105,10
Random Forest,0.16,0.49122807017543857,0.8936170212765957,0.6339622641509434,187,84,56564,87,10
Random Forest,0.17,0.535031847133758,0.8936170212765957,0.6693227091633466,173,84,56578,73,10
Random Forest,0.18,0.5637583892617449,0.8936170212765957,0.691358024691358,165,84,56586,65,10
Random Forest,0.19,0.5957446808510638,0.8936170212765957,0.7148936170212766,157,84,56594,57,10
Random Forest,0.2,0.6131386861313869,0.8936170212765957,0.7272727272727273,153,84,56598,53,10
Random Forest,0.21,0.631578947368421,0.8936170212765957,0.7400881057268722,149,84,56602,49,10
Random Forest,0.22,0.6434108527131783,0.8829787234042553,0.7443946188340808,156,83,56605,46,11
Random Forest,0.23,0.6693548387096774,0.8829787234042553,0.7614678899082569,151,83,56610,41,11
Random Forest,0.24,0.6890756302521008,0.8723404255319149,0.7699530516431925,157,82,56614,37,12
Random Forest,0.25,0.7008547008547008,0.8723404255319149,0.7772511848341233,155,82,56616,35,12
Random Forest,0.26,0.7008547008547008,0.8723404255319149,0.7772511848341233,155,82,56616,35,12
Random Forest,0.27,0.7130434782608696,0.8723404255319149,0.784688995215311,153,82,56618,33,12
Random Forest,0.28,0.7321428571428571,0.8723404255319149,0.7961165048543689,150,82,56621,30,12
Random Forest,0.29,0.7431192660550459,0.8617021276595744,0.7980295566502463,158,81,56623,28,13
Random Forest,0.3,0.75,0.8617021276595744,0.801980198019802,157,81,56624,27,13
Random Forest,0.31,0.7641509433962265,0.8617021276595744,0.81,155,81,56626,25,13
Random Forest,0.32,0.7641509433962265,0.8617021276595744,0.81,155,81,56626,25,13
Random Forest,0.33,0.7641509433962265,0.8617021276595744,0.81,155,81,56626,25,13
Random Forest,0.34,0.7714285714285715,0.8617021276595744,0.8140703517587939,154,81,56627,24,13
Random Forest,0.35,0.7788461538461539,0.8617021276595744,0.8181818181818182,153,81,56628,23,13
Random Forest,0.36,0.7941176470588235,0.8617021276595744,0.826530612244898,151,81,56630,21,13
